StationCode,longitude,latitude,HUC_12,gage_id,ID,NHDV1_COMID,NHDV2_COMID,STATION_NAME,SampleID
517PS0054,-121.03343,39.44571,180201250506,11409400,T11409400,8060553,8060553,OREGON C BL LOG CABIN DAM NR CAMPTONVILLE CA,517PS0054_07282010_BMI_RWB_1
517SED087,-120.92577,39.47102,180201250506,11409300,T11409300,8060547,8060547,OREGON C A CAMPTONVILLE CA,517SED087_08152008_BMI_RWB_1
517SED087,-120.92577,39.47102,180201250506,11409400,T11409400,8060553,8060553,OREGON C BL LOG CABIN DAM NR CAMPTONVILLE CA,517SED087_08152008_BMI_RWB_1
517WE0515,-120.9804,39.41396,180201250507,11410000,T11410000,8060699,8060699,M YUBA R NR NORTH SAN JUAN CA,517WE0515_09282000_BMI_CSBP_Trans_1
517WE0515,-120.9804,39.41396,180201250507,11408880,T11408880,8063597,8063597,M YUBA R BL OUR HOUSE DAM CA,517WE0515_09282000_BMI_CSBP_Trans_1
518CE0015,-120.92,39.99444,180201220805,11402000,T11402000,8027910,8027910,SPANISH C AB BLACKHAWK C AT KEDDIE CA,518CE0015_07152004_BMI_RWB_1
518CE0114,-121.20826,40.05192,180201210408,11401112,T11401112,2773068,2773068,NF FEATHER R BL BELDEN DAM CA,518CE0114_09192005_BMI_RWB_1
518CR0909,-121.26822,40.00191,180201210603,11403200,T11403200,2775196,2775196,NF FEATHER R BL ROCK C DIV DAM CA,518CR0909_09162013_BMI_RWB_1
518FC1060,-120.9641,40.0259,180201220805,11402000,T11402000,8027910,8027910,SPANISH C AB BLACKHAWK C AT KEDDIE CA,518FC1060_09182014_BMI_RWB_1
518GZCUPx,-121.27873,39.88909,180201210605,11404300,T11404300,2775564,2775564,GRIZZLY C BL DIV DAM CA,518GZCUPx_06172015_BMI_RWB_1
519ACDPPx,-121.38167,38.64194,180201110302,11447360,T11447360,15022679,15022679,ARCADE C NR DEL PASO HEIGHTS CA,519ACDPPx_09282000_BMI_CSBP_Trans_1
519CE0019,-121.31555,38.68388,180201110302,11447360,T11447360,15022679,15022679,ARCADE C NR DEL PASO HEIGHTS CA,519CE0019_07192004_BMI_RWB_1
519CE0211,-121.40368,38.63569,180201110302,11447360,T11447360,15022679,15022679,ARCADE C NR DEL PASO HEIGHTS CA,519CE0211_08162006_BMI_RWB_1
519MRCMDV,-121.45833,38.48083,180201630402,11336580,T11336580,15040355,15040355,MORRISON C NR SACRAMENTO CA,519MRCMDV_03302005_BMI_RWB_1
519MSCAFR,-121.45159,38.4964,180201630402,11336580,T11336580,15040355,15040355,MORRISON C NR SACRAMENTO CA,519MSCAFR_10252005_BMI_CSBP_Trans_1
519PS0198,-121.31073,38.46242,180201630403,11336585,T11336585,15040999,15040999,LAGUNA C NR ELK GROVE CA,519PS0198_07152009_BMI_RWB_1
519PS0253,-121.32739,38.68051,180201110302,11447360,T11447360,15022679,15022679,ARCADE C NR DEL PASO HEIGHTS CA,519PS0253_07232009_BMI_RWB_1
519PS0278,-121.29118,38.47667,180201630403,11336585,T11336585,15040999,15040999,LAGUNA C NR ELK GROVE CA,519PS0278_07072010_BMI_RWB_1
519PS0290,-121.36357,38.41687,180201630403,11336585,T11336585,15040999,15040999,LAGUNA C NR ELK GROVE CA,519PS0290_07282010_BMI_RWB_1
