metric,status_code,status,alteration_type,median_in_iqr,comid,gage_id
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,17055970,11316600
DS_Tim,1,likely_unaltered,none_found,TRUE,17055970,11316600
DS_Mag_50,1,likely_unaltered,none_found,TRUE,17055970,11316600
DS_Mag_90,1,likely_unaltered,none_found,TRUE,17055970,11316600
FA_Dur,1,likely_unaltered,none_found,TRUE,17055970,11316600
FA_Mag,1,likely_unaltered,none_found,FALSE,17055970,11316600
FA_Tim,1,likely_unaltered,none_found,TRUE,17055970,11316600
Wet_Tim,1,likely_unaltered,none_found,TRUE,17055970,11316600
SP_ROC,1,likely_unaltered,none_found,TRUE,17055970,11316600
SP_Mag,1,likely_unaltered,none_found,TRUE,17055970,11316600
SP_Tim,0,indeterminate,late,FALSE,17055970,11316600
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,17055970,11316600
